"T","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
275.62,1,4.0474,4.2474,0,5
275.57,1,4.0572,4.2572,0,5
275.52,1,4.067,4.267,0,5
275.48,1,4.0768,4.2768,0,5
275.43,1,4.0866,4.2866,0,5
275.39,1,4.0964,4.2964,0,5
275.34,1,4.1062,4.3062,0,5
275.3,1,4.116,4.316,0,5
275.25,1,4.1258,4.3258,0,5
275.21,1,4.1356,4.3356,0,5
275.16,1,4.1454,4.3454,0,5
275.11,1,4.1552,4.3552,0,5
275.07,1,4.165,4.365,0,5
275.02,1,4.1748,4.3748,0,5
274.98,1,4.1846,4.3846,0,5
274.93,1,4.1944,4.3944,0,5
274.89,1,4.2042,4.4042,0,5
274.84,1,4.214,4.414,0,5
274.8,1,4.2238,4.4238,0,5
274.75,1,4.2336,4.4336,0,5
274.71,1,4.2434,4.4434,0,5
274.66,1,4.2532,4.4532,0,5
274.61,1,4.263,4.463,0,5
274.57,1,4.2728,4.4728,0,5
274.53,1,4.2826,4.4826,0,5
274.5,1,4.2924,4.4924,0,5
274.48,1,4.3022,4.5022,0,5
274.45,1,4.312,4.512,0,5
274.42,1,4.3218,4.5218,0,5
274.4,1,4.3316,4.5316,0,5
274.37,1,4.3414,4.5414,0,5
274.35,1,4.3512,4.5512,0,5
274.32,1,4.361,4.561,0,5
274.29,1,4.3708,4.5708,0,5
274.27,1,4.3806,4.5806,0,5
274.24,1,4.3904,4.5904,0,5
274.22,1,4.4002,4.6002,0,5
274.19,1,4.41,4.61,0,5
274.16,1,4.4198,4.6198,0,5
274.14,1,4.4296,4.6296,0,5
274.11,1,4.4394,4.6394,0,5
274.09,1,4.4492,4.6492,0,5
274.06,1,4.459,4.659,0,5
274.03,1,4.4688,4.6688,0,5
274.01,1,4.4786,4.6786,0,5
273.98,1,4.4884,4.6884,0,5
273.96,1,4.4982,4.6982,0,5
273.93,1,4.508,4.708,0,5
273.9,1,4.5178,4.7178,0,5
273.88,1,4.5276,4.7276,0,5
273.85,1,4.5374,4.7374,0,5
273.83,1,4.5472,4.7472,0,5
273.8,1,4.557,4.757,0,5
273.78,1,4.5668,4.7668,0,5
273.75,1,4.5766,4.7766,0,5
273.72,1,4.5864,4.7864,0,5
273.7,1,4.5962,4.7962,0,5
273.67,1,4.606,4.806,0,5
273.65,1,4.6158,4.8158,0,5
273.62,1,4.6256,4.8256,0,5
273.59,1,4.6354,4.8354,0,5
273.57,1,4.6452,4.8452,0,5
273.54,1,4.655,4.855,0,5
273.52,1,4.6648,4.8648,0,5
273.49,1,4.6746,4.8746,0,5
273.46,1,4.6844,4.8844,0,5
273.45,1,4.6942,4.8942,0,5
273.44,1,4.704,4.904,0,5
273.43,1,4.7138,4.9138,0,5
273.43,1,4.7236,4.9236,0,5
273.42,1,4.7334,4.9334,0,5
273.41,1,4.7432,4.9432,0,5
273.41,1,4.753,4.953,0,5
273.4,1,4.7628,4.9628,0,5
273.39,1,4.7726,4.9726,0,5
273.39,1,4.7824,4.9824,0,5
273.38,1,4.7922,4.9922,0,5
273.37,1,4.802,5.002,0,5
273.37,1,4.8118,5.0118,0,5
273.36,1,4.8216,5.0216,0,5
273.36,1,4.8314,5.0314,0,5
273.35,1,4.8412,5.0412,0,5
273.34,1,4.851,5.051,0,5
273.34,1,4.8608,5.0608,0,5
273.33,1,4.8706,5.0706,0,5
273.32,1,4.8804,5.0804,0,5
273.32,1,4.8902,5.0902,0,5
273.31,1,4.9,5.1,0,5
273.3,1,4.9098,5.1098,0,5
273.3,1,4.9196,5.1196,0,5
273.29,1,4.9294,5.1294,0,5
273.28,1,4.9392,5.1392,0,5
273.28,1,4.949,5.149,0,5
273.27,1,4.9588,5.1588,0,5
273.26,1,4.9686,5.1686,0,5
273.26,1,4.9784,5.1784,0,5
273.25,1,4.9882,5.1882,0,5
273.25,1,4.998,5.198,0,5
273.24,1,5.0078,5.2078,0,5
273.23,1,5.0176,5.2176,0,5
273.23,1,5.0274,5.2274,0,5
